oid,num_detections,redshift,distance_mpcZTF17aaaaaby,24,distance_mpc,first_mjd,last_mjd,first_utc,last_utc,duration_days,peak_luminosity,r_squared
ZTF17aaaacnb,72,N/A (No catsHTM match),,,,58385.52019680012,60743.16313660005,2018-09-24T12:29:05.003530496+00:00,2025-03-09T03:54:55.002244352+00:00,2357.642939799931,N/A,0.023980440048187557
ZTF17aaaacnz,20,N/A (No catsHTM match),,,,60213.45311339991,60975.42237270018,2023-09-26T10:52:28.997752320+00:00,2025-10-27T10:08:13.001295616+00:00,761.9692593002692,N/A,0.4522632325677993
ZTF17aaaacoq,48,N/A (No catsHTM match),,,,58422.38049770007,60691.21255790023,2018-10-31T09:07:55.001285888+00:00,2025-01-16T05:06:05.002579968+00:00,2268.8320602001622,N/A,0.007435744964100932
ZTF17aaaacor,131,N/A (No catsHTM match),,,,58378.48334489996,60951.48483800003,2018-09-17T11:36:00.999356160+00:00,2025-10-03T11:38:10.003202816+00:00,2573.001493100077,N/A,0.00777887814370648
ZTF17aaaacoy,75,N/A (No catsHTM match),,,,58509.22700229986,60970.414756900165,2019-01-26T05:26:52.998707712+00:00,2025-10-22T09:57:14.996174336+00:00,2461.187754600309,N/A,0.001110911421939309
ZTF17aaaacsm,83,N/A (No catsHTM match),,,,58386.39083330007,60970.414756900165,2018-09-25T09:22:47.997126400+00:00,2025-10-22T09:57:14.996174336+00:00,2584.0239236000925,N/A,-2.1150822266946534e-06
ZTF17aaaacvj,137,N/A (No catsHTM match),,,,58462.35304399999,60979.441967600025,2018-12-10T08:28:23.001598976+00:00,2025-10-31T10:36:26.000642304+00:00,2517.0889236000367,N/A,0.02169458522510448
ZTF17aaaadbt,22,N/A (No catsHTM match),,,,60501.47363429982,60873.48582179984,2024-07-10T11:22:02.003504640+00:00,2025-07-17T11:39:35.003506176+00:00,372.0121875000186,N/A,-3.0949978298000502e-06
ZTF17aaaaddc,30,N/A (No catsHTM match),,,,60496.480428200215,60878.48774310015,2024-07-05T11:31:48.996498688+00:00,2025-07-22T11:42:21.003853056+00:00,382.0073148999363,N/A,0.7370043643675778
ZTF17aaaadfx,81,N/A (No catsHTM match),,,,58365.446620400064,60900.470057900064,2018-09-04T10:43:08.002565376+00:00,2025-08-13T11:16:53.002565376+00:00,2535.0234375,N/A,-2.149617100322132e-06
ZTF17aaaadgl,76,N/A (No catsHTM match),,,,58345.47314810008,60875.4985301001,2018-08-15T11:21:19.995846656+00:00,2025-07-19T11:57:53.000648704+00:00,2530.0253820000216,N/A,
ZTF17aaaadgs,102,N/A (No catsHTM match),,,,58349.48674769979,60929.4308449002,2018-08-19T11:40:55.001261824+00:00,2025-09-11T10:20:24.999377152+00:00,2579.9440972004086,N/A,
ZTF17aaaadha,55,N/A (No catsHTM match),,,,58423.33528940007,60868.49646990001,2018-11-01T08:02:49.004166144+00:00,2025-07-12T11:54:54.999361024+00:00,2445.161180499941,N/A,0.038385790545603204
ZTF17aaaadih,26,N/A (No catsHTM match),,,,58336.46582179982,60693.28679399984,2018-08-06T11:10:47.003504640+00:00,2025-01-18T06:52:59.001586176+00:00,2356.8209722000174,N/A,0.03397857034220719
ZTF17aaaadir,25,N/A (No catsHTM match),,,,59228.21575229988,60178.50612269994,2021-01-14T05:10:40.998709248+00:00,2023-08-22T12:08:49.001274624+00:00,950.2903704000636,N/A,0.036826140344284775
